player,image,rank,fieldG,fieldGA,extraPT,miscFPTS
Stephen Gostkowski NE ,https://s3.amazonaws.com/ryaong792/Kickers/S.Gostkowski.jpg,1,32.5,37,48.3,145.8
Matt Bryant ATL ,https://s3.amazonaws.com/ryaong792/Kickers/M.Bryant.jpg,2,31.6,35.7,47.6,142.4
Justin Tucker BAL ,https://s3.amazonaws.com/ryaong792/Kickers/J.Tucker.jpg,3,32.6,36.1,34.1,131.9
Mason Crosby GB ,https://s3.amazonaws.com/ryaong792/Kickers/M.Cerosby.jpg,4,28.3,33.2,45.4,130.2
Graham Gano CAR ,https://s3.amazonaws.com/ryaong792/Kickers/G.Gano.jpg,5,29.9,37,40,129.8
Will Lutz NO ,https://s3.amazonaws.com/ryaong792/Kickers/W.lutz.jpg,6,27.2,32.8,47,128.6
Sebastian Janikowski OAK ,https://s3.amazonaws.com/ryaong792/Kickers/S.Janikowski.jpg,7,28.3,34.2,40.1,125
Dustin Hopkins WAS ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,8,29.3,35.6,37.1,125
Chris Boswell PIT ,https://s3.amazonaws.com/ryaong792/Kickers/C.Boswell.jpg,9,28.9,33.1,37.8,124.4
Dan Bailey DAL ,https://s3.amazonaws.com/ryaong792/Kickers/D.Bailey.jpg,10,27.1,31.1,43,124.2
Caleb Sturgis PHI ,https://s3.amazonaws.com/ryaong792/Kickers/C.Sturgis.jpg,11,29.2,35.1,36.1,123.6
Cairo Santos KC ,https://s3.amazonaws.com/ryaong792/Kickers/C.Santos.jpg,12,28.7,33.8,37.2,123.3
Adam Vinatieri IND ,https://s3.amazonaws.com/ryaong792/Kickers/A.Vinatier.jpg,13,27.5,31,40.3,122.8
Blair Walsh SEA ,https://s3.amazonaws.com/ryaong792/Kickers/B.Walsh.jpg,14,28.1,34.4,36.9,121.2
Josh Lambo LAC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,15,27.5,33.6,38.7,121.2
Matt Prater DET ,https://s3.amazonaws.com/ryaong792/Kickers/M.Prater.jpg,16,28.1,32.3,35.9,120.2
Randy Bullock CIN ,https://s3.amazonaws.com/ryaong792/Kickers/R.Bullock.jpg,17,28.5,33.1,34.2,119.7
Phil Dawson ARI ,https://s3.amazonaws.com/ryaong792/Kickers/P.Dawson.jpg,18,26.1,30.5,41.2,119.6
Nick Novak HOU ,https://s3.amazonaws.com/ryaong792/Kickers/N.Novak.jpg,19,28.8,33.7,32.2,118.5
Kai Forbath MIN ,https://s3.amazonaws.com/ryaong792/Kickers/K.Forbath.jpg,20,27.9,32.2,34.2,118
Jason Myers JAC ,https://s3.amazonaws.com/ryaong792/Kickers/J.Myers.jpg,21,27.1,32.4,34.8,116
Brandon McManus DEN ,https://s3.amazonaws.com/ryaong792/Kickers/B.McManus.jpg,22,26.8,31.4,33.5,114
Roberto Aguayo TB ,https://s3.amazonaws.com/ryaong792/Kickers/R.Aguayo.jpg,23,25.8,34.6,36.3,113.8
Steven Hauschka BUF ,https://s3.amazonaws.com/ryaong792/Kickers/S.Hauschka.jpg,24,24.3,28.6,37.6,110.5
Ryan Succop TEN ,https://s3.amazonaws.com/ryaong792/Kickers/R.Succop.jpg,25,23.8,27.3,38.6,109.9
Aldrick Rosas NYG ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,26,24.2,28.2,35.5,108
Chandler Catanzaro NYJ ,https://s3.amazonaws.com/ryaong792/Kickers/C.Catanzaro.jpg,27,25.4,31,29.8,106.1
Andrew Franks MIA ,https://s3.amazonaws.com/ryaong792/Kickers/A.Franks.jpg,28,21.1,26.4,36.9,100.2
Connor Barth CHI ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,29,22.9,28.3,31.4,100.1
Robbie Gould SF ,https://s3.amazonaws.com/ryaong792/Kickers/R.Gould.jpg,30,23,26.4,29.8,98.8
Greg Zuerlein LAR ,https://s3.amazonaws.com/ryaong792/Kickers/G.Zuerlein.jpg,31,20.8,25.6,26.9,89.2
Cody Parkey CLE ,https://s3.amazonaws.com/ryaong792/Kickers/C.Parkey.jpg,32,19.1,23.9,25.6,82.9
Jake Elliott CIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,33,18.1,21.4,24.4,78.7
Zane Gonzalez CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,34,15.6,19,18.9,65.6
Nick Folk TB ,https://s3.amazonaws.com/ryaong792/Kickers/N.Folk.jpg,35,6.2,7.2,9.8,28.4
Harrison Butker CAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,36,0.1,0.1,0.1,0.4
