player,image,rank,passATT,passCMP,passYDS,passTDS,passINTS,rushATT,rushYDS,rushTDS,miscFL,miscFPTS
Aaron Rodgers GB ,https://s3.amazonaws.com/ryaong792/QB/A.Rodgers.jpg,1,593.5,387.4,"4,264.90",34.1,10.7,57.8,329.7,2.7,3.7,327.5
Tom Brady NE ,https://s3.amazonaws.com/ryaong792/QB/TBrady.jpg,2,597.4,394.5,"4,665.30",34.2,8.8,38.8,63.9,1.4,2.8,315.2
Matt Ryan ATL ,https://s3.amazonaws.com/ryaong792/QB/M.Ryan.jpg,3,554.3,378.5,"4,675.90",32.6,11.2,34.6,106.5,0.9,2.9,305
Drew Brees NO ,https://s3.amazonaws.com/ryaong792/QB/D.Brees.jpg,4,658.3,449.7,"4,959.30",32.4,15.1,23.2,30.7,0.9,3.8,298.6
Andrew Luck IND ,https://s3.amazonaws.com/ryaong792/QB/A.Luck.jpg,5,582.2,360.1,"4,196.30",29.6,17,66,330.7,2.2,3.1,292.3
Russell Wilson SEA ,https://s3.amazonaws.com/ryaong792/QB/R.Wilson.jpg,6,534.4,342.3,"4,033.60",26.1,13.5,84.5,419.2,2.2,2.8,288
Cam Newton CAR ,https://s3.amazonaws.com/ryaong792/QB/C.Newton.jpg,7,528,305.4,"3,822.40",24.4,14.6,89.4,415.8,5,4.1,284.5
Jameis Winston TB ,https://s3.amazonaws.com/ryaong792/QB/J.Winston.jpg,8,588.6,365.4,"4,408.30",28.6,16.8,49.9,189.6,2.5,3.9,283.3
Dak Prescott DAL ,https://s3.amazonaws.com/ryaong792/QB/D.Prescott.jpg,9,498.4,329.1,"3,831.00",25.2,9.9,56.5,273.6,4.1,4,278.3
Kirk Cousins WAS ,https://s3.amazonaws.com/ryaong792/QB/K.Cousins.jpg,10,596.2,394.1,"4,560.10",25.2,14.2,31.4,69,2.5,4.4,267.8
Tyrod Taylor BUF ,https://s3.amazonaws.com/ryaong792/QB/T.Taylor.jpg,11,466.6,288.3,"3,283.10",20.6,9.8,97.3,552.5,4.1,3.1,267.7
Marcus Mariota TEN ,https://s3.amazonaws.com/ryaong792/QB/M.Mariota.jpg,12,502.7,312.7,"3,655.40",26.2,13.2,61.4,351.5,2.3,3.5,266.4
Matthew Stafford DET ,https://s3.amazonaws.com/ryaong792/QB/M.Stafford.jpg,13,594.7,388,"4,098.70",25,12.4,39.5,170.1,1.9,2.9,261.8
