Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
David Johnson ARI ,https://s3.amazonaws.com/ryaong792/RB/D.Johnson.jpg,1,295.6,"1,192.70",12.3,77,788.5,4.2,3.1,290.9
Ezekiel Elliott DAL ,https://s3.amazonaws.com/ryaong792/RB/E.Elliott.jpg,2,331.4,"1,609.10",12.3,40.1,381.8,1.7,1.5,280.1
Le'Veon Bell PIT ,https://s3.amazonaws.com/ryaong792/RB/L.Bell.jpg,3,307.8,"1,425.90",9.7,81.2,641.4,2.9,2.2,278.1
LeSean McCoy BUF ,https://s3.amazonaws.com/ryaong792/RB/L.McCoy.jpg,4,248.7,"1,225.10",8.6,51.8,377.5,1.8,1,220.7
Devonta Freeman ATL ,https://s3.amazonaws.com/ryaong792/RB/D.Freeman.jpg,5,216.7,953.7,9.6,55.7,474.1,3,1.8,214.4
Melvin Gordon LAC ,https://s3.amazonaws.com/ryaong792/RB/M.Gordon.jpg,6,273.7,"1,074.70",8.5,45.6,394.2,1.9,3.8,201.3
DeMarco Murray TEN ,https://s3.amazonaws.com/ryaong792/RB/D.Murray.jpg,7,254.2,"1,094.00",8.1,46.9,333.8,2.2,1.8,201
Jordan Howard CHI ,https://s3.amazonaws.com/ryaong792/RB/J.Howard.jpg,8,258.6,"1,214.10",7.5,31.7,290.7,1.5,1.6,200.9
Jay Ajayi MIA ,https://s3.amazonaws.com/ryaong792/RB/J.Ajayi.jpg,9,264.2,"1,171.80",7.7,29.6,204.1,1.1,1.3,188
Todd Gurley LAR ,https://s3.amazonaws.com/ryaong792/RB/T.Gurley.jpg,10,271.6,"1,022.00",8.2,36.3,285.7,0.8,1.4,182.2
Lamar Miller HOU ,https://s3.amazonaws.com/ryaong792/RB/L.Miller.jpg,11,267.4,"1,066.80",6.9,37.9,264.7,1.5,1.6,180.7
Leonard Fournette JAC ,https://s3.amazonaws.com/ryaong792/RB/L.Fournette.jpg,12,249.2,"1,117.20",7.4,27.8,207.3,1.1,1.8,180.2
Marshawn Lynch OAK ,https://s3.amazonaws.com/ryaong792/RB/M.Lynch.jpg,13,225.9,950.7,9.2,31.1,216.3,1.1,1.2,175.9
Isaiah Crowell CLE ,https://s3.amazonaws.com/ryaong792/RB/I.Crowell.jpg,14,219.7,957.5,6.7,36.7,279.7,0.8,1.6,165.7
Spencer Ware KC ,https://s3.amazonaws.com/ryaong792/RB/S.Ware.jpg,15,198.7,857.5,6.8,31.3,296.9,1.7,4,158.8
Mark Ingram NO ,https://s3.amazonaws.com/ryaong792/RB/M.Ingram.jpg,16,181.8,816.3,5.7,45.7,325.1,2.3,2.5,157.1
Ty Montgomery GB ,https://s3.amazonaws.com/ryaong792/RB/T.Montgomery.jpg,17,169.1,773.2,5.7,46.8,358.2,1.9,1.4,155.7
Tevin Coleman ATL ,https://s3.amazonaws.com/ryaong792/RB/T.Coleman.jpg,18,145.9,632.8,6.2,36.2,379.9,2.9,1.3,153.1
Carlos Hyde SF ,https://s3.amazonaws.com/ryaong792/RB/C.Hyde.jpg,19,219.2,934.2,6.2,30.7,211.3,1.6,5.6,150.1
Frank Gore IND ,https://s3.amazonaws.com/ryaong792/RB/F.Gore.jpg,20,206.9,805.9,5.1,31.3,235.9,1.9,2,142.2
Bilal Powell NYJ ,https://s3.amazonaws.com/ryaong792/RB/B.Powell.jpg,21,162.8,730.7,3.6,53.5,389.2,1.8,1.3,141.8
Christian McCaffrey CAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,22,145.3,647.3,4.5,44.2,396.2,2.2,1.6,141.7
Joe Mixon CIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,23,185.4,774.7,6.2,27.4,210.9,0.9,1.5,138.6
C.J. Anderson DEN ,https://s3.amazonaws.com/ryaong792/RB/C.Anderson.jpg,24,184.8,778.6,5.6,30.9,236.8,1,1.8,137.5
Mike Gillislee NE ,https://s3.amazonaws.com/ryaong792/RB/M.Gillislee.jpg,25,165.2,764.8,7.3,15.4,116.8,0.9,1.4,134.8
Eddie Lacy SEA ,https://s3.amazonaws.com/ryaong792/RB/E.Lacy.jpg,26,199.3,814.7,5.5,18.1,147.3,0.8,1.1,132
Paul Perkins NYG ,https://s3.amazonaws.com/ryaong792/RB/P.Perkins.jpg,27,212,844.5,3.7,23.9,215.9,0.9,1.5,130.6
Matt Forte NYJ ,https://s3.amazonaws.com/ryaong792/RB/M.Forte.jpg,28,166,677.7,5.2,32.2,263,1.1,1.8,128.5
Dalvin Cook MIN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,29,164.2,686.2,5.2,33.6,248.8,1,1.6,127.5
Ameer Abdullah DET ,https://s3.amazonaws.com/ryaong792/RB/A.Abdullah.jpg,30,151.3,631.5,3.5,33.5,267.9,1.9,1.9,118.7
Doug Martin TB ,https://s3.amazonaws.com/ryaong792/RB/D.Martin.jpg,31,182.1,712.8,5.3,22.7,185.5,0.8,4.2,118.4
Theo Riddick DET ,https://s3.amazonaws.com/ryaong792/RB/T.Riddick.jpg,32,78,296.8,1.9,70.5,540.7,4,1,116.9
Adrian Peterson NO ,https://s3.amazonaws.com/ryaong792/RB/A.Peterson.jpg,33,159.5,680.5,6.8,19.1,137.3,0.4,4.9,115.4
