Player,Image,Rank,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Rob Gronkowski NE ,https://s3.amazonaws.com/ryaong792/TE/R.Gronkowski.jpg,1,68.3,"1,018.30",9.3,0,157.6
Greg Olsen CAR ,https://s3.amazonaws.com/ryaong792/TE/G.Olsen.jpg,2,77.6,"1,016.20",5.7,0,135.5
Jordan Reed WAS ,https://s3.amazonaws.com/ryaong792/TE/J.Reed.jpg,3,84.8,907.1,6.9,0,132.1
Travis Kelce KC ,https://s3.amazonaws.com/ryaong792/TE/T.Kelce.jpg,4,78.5,937,5.3,0,125.2
Delanie Walker TEN ,https://s3.amazonaws.com/ryaong792/TE/D.Walker.jpg,5,66.9,806,6.2,0,117.8
Jimmy Graham SEA ,https://s3.amazonaws.com/ryaong792/TE/J.Graham.jpg,6,61,769.1,6.3,0,114.4
Kyle Rudolph MIN ,https://s3.amazonaws.com/ryaong792/TE/K.Rudolph.jpg,7,74.7,743.4,6.3,0,112.1
Tyler Eifert CIN ,https://s3.amazonaws.com/ryaong792/TE/T.Eifert.jpg,8,59.6,685.3,6.2,0,105.4
Jack Doyle IND ,https://s3.amazonaws.com/ryaong792/TE/J.Doyle.jpg,9,62.6,642.1,6.1,0,100.8
Zach Ertz PHI ,https://s3.amazonaws.com/ryaong792/TE/Z.Ertz.jpg,10,67.9,734.7,4.5,0,100.5
Hunter Henry LAC ,https://s3.amazonaws.com/ryaong792/TE/H.Henry.jpg,11,52.5,628.8,6,0,98.9
Martellus Bennett GB ,https://s3.amazonaws.com/ryaong792/TE/M.Bennett.jpg,12,57.9,624.7,6,0,98.5
Eric Ebron DET ,https://s3.amazonaws.com/ryaong792/TE/E.Ebron.jpg,13,63.8,704.3,4.2,0,95.6
Jason Witten DAL ,https://s3.amazonaws.com/ryaong792/TE/J.Witten.jpg,14,64.8,642.8,4.3,0,90.1
Coby Fleener NO ,https://s3.amazonaws.com/ryaong792/TE/C.Fleener.jpg,15,47.3,582.1,4.8,0,86.7
C.J. Fiedorowicz HOU ,https://s3.amazonaws.com/ryaong792/TE/C.Fiedorowicz.jpg,16,56.9,605.1,4.2,0,85.4
Dennis Pitta BAL ,https://s3.amazonaws.com/ryaong792/TE/D.Pitta.jpg,17,65.9,603.4,3.7,0,82.5
Cameron Brate TB ,https://s3.amazonaws.com/ryaong792/TE/C.Brate.jpg,18,48.4,548.7,4.3,0,80.7
Austin Hooper ATL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,19,42.1,504.2,4.8,0,78.9
Antonio Gates LAC ,https://s3.amazonaws.com/ryaong792/TE/A.Gates.jpg,20,45.2,482.6,5.1,0,78.9
Charles Clay BUF ,https://s3.amazonaws.com/ryaong792/TE/C.Clay.jpg,21,52.4,542.5,3.8,0,77
Julius Thomas MIA ,https://s3.amazonaws.com/ryaong792/TE/J.Thomas.jpg,22,44.7,446,5.1,0,74.9
Zach Miller CHI ,https://s3.amazonaws.com/ryaong792/TE/Z.Miller.jpg,23,45.8,507.4,3.7,0,72.9
Jared Cook OAK ,https://s3.amazonaws.com/ryaong792/TE/J.Cook.jpg,24,40.1,492,3.8,0,71.7
O.J. Howard TB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,25,40.4,449.1,3.7,0,66.8
Jesse James PIT ,https://s3.amazonaws.com/ryaong792/TE/J.James.jpg,26,41.5,411.2,3.9,0,64.5
Evan Engram NYG ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,27,40,433.1,3.5,0,64
David Njoku CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,28,41.8,462.4,2.8,0,63
Vance McDonald SF ,https://s3.amazonaws.com/ryaong792/TE/V.McDonald.jpg,29,32.2,395.3,3,0,57.2
Jermaine Gresham ARI ,https://s3.amazonaws.com/ryaong792/TE/J.Gresham.jpg,30,38,400.7,2.5,0,54.8
Erik Swoope IND ,https://s3.amazonaws.com/ryaong792/TE/E.Swoope.jpg,31,24,307,2.6,0,46.3
Tyler Higbee LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,32,29.3,304.9,2.5,0,45.2
Vernon Davis WAS ,https://s3.amazonaws.com/ryaong792/TE/V.Davis.jpg,33,26.4,330.2,2,0,44.7
Gerald Everett LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,34,29.1,305.1,2.2,0,43.4
Dwayne Allen NE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,35,20.5,228.5,2.7,0,38.8
A.J. Derby DEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,36,26.4,269.8,1.7,0,37.2
Clive Walford OAK ,https://s3.amazonaws.com/ryaong792/TE/C.Walford.jpg,37,21.3,242,1.9,0,35.6
Virgil Green DEN ,https://s3.amazonaws.com/ryaong792/TE/V.Green.jpg,38,21.8,233.2,2,0,35.3
Marcedes Lewis JAC ,https://s3.amazonaws.com/ryaong792/TE/M.Lewis.jpg,39,23.3,247.6,1.6,0,34.1
Seth DeValve CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,40,24.5,249,1.4,0,33
Logan Paulsen SF ,https://s3.amazonaws.com/ryaong792/TE/L.Paulsen.jpg,41,21.9,237.9,1.4,0,32.2
Xavier Grimble PIT ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,42,19.5,204.6,1.9,0,31.9
Josh Hill NO ,https://s3.amazonaws.com/ryaong792/TE/J.Hill.jpg,43,20.1,207.6,1.9,0,31.9
Austin Seferian-Jenkins NYJ ,https://s3.amazonaws.com/ryaong792/TE/A.Seferian-Jenkins.jpg,44,21.4,236.1,1.4,0,31.7
Mychal Rivera JAC ,https://s3.amazonaws.com/ryaong792/TE/M.Rivera.jpg,45,23.6,230.4,1.4,0,31.4
Jordan Leggett NYJ ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,46,22.6,229.4,1.4,0,31.3
Benjamin Watson BAL ,https://s3.amazonaws.com/ryaong792/TE/B.Watson.jpg,47,24,233,1,0,29.3
Levine Toilolo ATL ,https://s3.amazonaws.com/ryaong792/TE/L.Toilolo.jpg,48,15,158.4,2,0,27.5
Trey Burton PHI ,https://s3.amazonaws.com/ryaong792/TE/T.Burton.jpg,49,19.3,193.9,1.2,0,26.6
Dion Sims CHI ,https://s3.amazonaws.com/ryaong792/TE/D.Sims.jpg,50,16.6,166.8,1.6,0,26
Will Tye NYG ,https://s3.amazonaws.com/ryaong792/TE/W.Tye.jpg,51,19,181.1,1.2,0,25
