Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Antonio Brown PIT ,https://s3.amazonaws.com/ryaong792/WR/A.Brown.jpg,1,3.5,20.1,0.1,115.9,"1,462.40",10.5,0.8,210.2
Julio Jones ATL ,https://s3.amazonaws.com/ryaong792/WR/J.Jones.jpg,2,0,0,0,103,"1,540.00",8.1,0.4,201.6
Mike Evans TB ,https://s3.amazonaws.com/ryaong792/WR/M.Evans.jpg,3,0,0,0,95.5,"1,341.50",9.9,0.3,193
Odell Beckham Jr. NYG ,https://s3.amazonaws.com/ryaong792/WR/O.Beckham.jpg,4,0.5,4.5,0,98.3,"1,291.60",9.5,1,184.6
A.J. Green CIN ,https://s3.amazonaws.com/ryaong792/WR/A.Green.jpg,5,0,0,0,97.6,"1,316.50",7.9,0.5,178.3
Jordy Nelson GB ,https://s3.amazonaws.com/ryaong792/WR/J.Nelson.jpg,6,0,0,0,91.4,"1,179.40",10.2,1.2,176.7
Michael Thomas NO ,https://s3.amazonaws.com/ryaong792/WR/M.Thomas.jpg,7,0,0,0,96,"1,175.40",8.4,0.3,167.3
T.Y. Hilton IND ,https://s3.amazonaws.com/ryaong792/WR/T.Hilton.jpg,8,0,0,0,84.2,"1,234.20",6.3,0.3,160.8
Doug Baldwin SEA ,https://s3.amazonaws.com/ryaong792/WR/D.Baldwin.jpg,9,2.6,15.8,0.1,89.6,"1,085.50",7.9,0.2,157.6
Dez Bryant DAL ,https://s3.amazonaws.com/ryaong792/WR/D.Bryant.jpg,10,0,0,0,71.6,"1,020.30",8.8,1.6,151.8
Amari Cooper OAK ,https://s3.amazonaws.com/ryaong792/WR/A.Cooper.jpg,11,2.5,15.2,0.1,85,"1,140.90",6.1,0.4,151.7
DeAndre Hopkins HOU ,https://s3.amazonaws.com/ryaong792/WR/D.Hopkins.jpg,12,0,0,0,86.1,"1,086.70",6.6,0.3,147.5
